Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
1/23/2015,4496400,303.37,303.37,303.37,308.08,316.93,307.72,312.39
1/26/2015,3169700,305.47,305.47,305.47,311.82,313,307.52,309.66
1/27/2015,2920300,305.9,305.9,305.9,306.3,310.24,302.63,306.75
1/28/2015,3063800,305.23,305.23,305.23,309.81,311.51,303.8,303.91
1/29/2015,8656600,307.42,307.42,307.42,304.73,312.8,299.33,311.78
1/30/2015,23856100,323.12,323.12,323.12,346.32,359.5,340.74,354.53
2/2/2015,10231900,336.9,336.9,336.9,350.05,365,350.01,364.47
2/3/2015,6212600,345.79,345.79,345.79,360.29,367.82,360.21,363.55
2/4/2015,4169900,352.11,352.11,352.11,358.38,367.5,358.23,364.75
2/5/2015,7247600,359.37,359.37,359.37,366,378.8,365.9,373.89
2/6/2015,3892400,364.34,364.34,364.34,374.87,375.99,371.01,374.28
2/9/2015,2724600,366.41,366.41,366.41,371,374.41,367.2,370.56
2/10/2015,2287200,368.61,368.61,368.61,371.19,374.3,368.51,373
2/11/2015,2786500,370.79,370.79,370.79,371.23,377.1,371.1,375.14
2/12/2015,2791100,372.91,372.91,372.91,375.1,378.51,373.15,377.17
2/13/2015,3475100,375.89,375.89,375.89,378.41,383,377.01,381.83
2/17/2015,3673200,375.73,375.73,375.73,377.72,379.99,372.67,375.43
2/18/2015,2650600,374.95,374.95,374.95,373.78,376.74,372.85,373.37
2/19/2015,2953800,376.3,376.3,376.3,373.49,381.88,373.43,379
2/20/2015,3258000,378.75,378.75,378.75,378.62,383.7,375.84,383.66
2/23/2015,2177000,379.21,379.21,379.21,383.44,384.54,378,380.14
2/24/2015,1920800,379.01,379.01,379.01,378.65,380.48,376.16,378.59
2/25/2015,3174500,381.13,381.13,381.13,377.27,387.85,376.54,385.37
2/26/2015,2687100,382.35,382.35,382.35,384.07,389.37,383.28,384.8
2/27/2015,2532300,381.62,381.62,381.62,384,385.99,379.79,380.16
3/2/2015,2139200,382.97,382.97,382.97,380.85,385.9,379.48,385.66
3/3/2015,1946500,383.51,383.51,383.51,383.95,386.1,381.6,384.61
3/4/2015,2259100,383.25,383.25,383.25,385.71,387.9,382.19,382.72
3/5/2015,2693500,384.78,384.78,384.78,385.61,388.42,383.89,387.83
3/6/2015,2627000,383.21,383.21,383.21,385.52,387,378.88,380.09
3/9/2015,2311400,381.66,381.66,381.66,378.4,379.33,375.28,378.56
3/10/2015,3121000,377.61,377.61,377.61,377.45,377.77,369.18,369.51
3/11/2015,2495100,373.86,373.86,373.86,370.61,373.35,366.26,366.37
3/12/2015,2810000,373.99,373.99,373.99,368.82,375.5,367.52,374.24
3/13/2015,2611700,372.85,372.85,372.85,371.52,373.99,366.68,370.58
3/16/2015,2354100,373.02,373.02,373.02,370.38,373.94,366.72,373.35
3/17/2015,2037000,372.65,372.65,372.65,371.11,374.5,369.64,371.92
3/18/2015,2654100,373.48,373.48,373.48,369.97,375.99,366.7,375.14
3/19/2015,1915700,373.4,373.4,373.4,373.87,377.11,372.19,373.24
3/20/2015,3763600,375.1,375.1,375.1,376.29,379.37,375.92,378.49
3/23/2015,2239300,375.1,375.1,375.1,378.07,381.77,374.94,375.11
3/24/2015,2228200,374.76,374.76,374.76,373.99,375.24,372.27,374.09
3/25/2015,3429500,373.5,373.5,373.5,375.17,380.5,370.29,370.96
3/26/2015,2930000,371.45,371.45,371.45,369.59,371.4,365.65,367.35
3/27/2015,2609800,371.15,371.15,371.15,367.11,373.17,366.57,370.56
3/30/2015,1820900,372.3,372.3,372.3,371.87,376.12,371.55,374.59
3/31/2015,2506100,372.23,372.23,372.23,373.24,377.7,371.51,372.1
4/1/2015,2458100,371.57,371.57,371.57,372.1,373.16,368.34,370.26
4/2/2015,1875300,371.8,371.8,371.8,370.5,373.28,369,372.25
4/6/2015,3050700,373.55,373.55,373.55,370.1,380.2,369.36,377.04
4/7/2015,1954900,373.83,373.83,373.83,376.15,379.31,374.03,374.41
4/8/2015,2636400,376.29,376.29,376.29,374.66,381.58,374.65,381.2
4/9/2015,2392300,378.71,378.71,378.71,380.66,384.42,378.8,383.54
4/10/2015,2573500,380.02,380.02,380.02,384.31,387.12,381.32,382.65
4/13/2015,1894500,380.8,380.8,380.8,383.53,385.28,380.14,382.36
4/14/2015,2583600,382.24,382.24,382.24,383.51,387.81,381.21,385.11
4/15/2015,1933200,382.64,382.64,382.64,384.65,385.78,381.64,383.45
4/16/2015,2080400,383.77,383.77,383.77,383.69,387.45,383.55,386.04
4/17/2015,3839700,381.04,381.04,381.04,382.63,383.56,374.4,375.56
4/20/2015,5016100,383.86,383.86,383.86,378.55,391.94,377,389.51
4/21/2015,4643500,386.3,386.3,386.3,391.31,394.6,386.8,391.18
4/22/2015,3474700,387.47,387.47,387.47,391.91,394.28,388,389.8
4/23/2015,7980000,388.31,388.31,388.31,390.21,391.88,386.15,389.99
4/24/2015,17176900,407.24,407.24,407.24,439,452.65,439,445.1
4/27/2015,5430900,417.68,417.68,417.68,443.86,446.99,437.41,438.56
4/28/2015,4140500,421.56,421.56,421.56,438.51,439,428.04,429.31
4/29/2015,3621700,424.16,424.16,424.16,426.75,434.24,426.03,429.37
4/30/2015,3647900,423.37,423.37,423.37,427.11,431.75,419.24,421.78
5/1/2015,3565800,423.2,423.2,423.2,423.82,425.64,416,422.87
5/4/2015,2270400,423.15,423.15,423.15,424.8,429.77,422.42,423.04
5/5/2015,2856400,422.5,422.5,422.5,422.85,427.51,421.02,421.19
5/6/2015,2552500,421.36,421.36,421.36,421.43,422.72,414.55,419.1
5/7/2015,2766100,423.2,423.2,423.2,424.15,428.5,422.85,426.88
