Date,Volume,EMA10,EMA50,EMA200,Open,High,Low,Close(t)
6/14/2010,4076700,242.88,242.88,242.88,247.49,247.5,241.84,241.84
6/15/2010,8510600,245,245,245,241.78,250.45,241.33,249.24
6/16/2010,4574000,246.96,246.96,246.96,248.33,252.25,248.3,250.89
6/17/2010,3950600,248.07,248.07,248.07,251.98,253.19,248.59,250.29
6/18/2010,5740000,248.8,248.8,248.8,251.51,251.99,249.31,250.27
6/21/2010,5961000,247.38,247.38,247.38,250.2,250.74,242.69,244.52
6/22/2010,4434900,246.04,246.04,246.04,245.2,248.55,243.11,243.37
6/23/2010,4054100,244.45,244.45,244.45,243.69,243.69,239.32,241.27
6/24/2010,3783400,242.23,242.23,242.23,240.07,241.62,236.87,237.79
6/25/2010,4485900,240.35,240.35,240.35,238.77,239.06,235.52,236.58
6/28/2010,3521000,238.99,238.99,238.99,236.53,239.01,234.74,236.28
6/29/2010,6997100,235.11,235.11,235.11,231.95,232.51,225.79,227.36
6/30/2010,7199100,230.98,230.98,230.98,227.71,229.14,222.58,222.7
7/1/2010,7020100,227.3,227.3,227.3,222.87,224.42,217.03,219.96
7/2/2010,3868100,224.37,224.37,224.37,221.03,221.36,218.22,218.49
7/6/2010,5115000,222.33,222.33,222.33,222.22,224.06,217.03,218.25
7/7/2010,6253100,223.33,223.33,223.33,219.37,225.87,217.91,225.33
7/8/2010,5332400,225.06,225.06,225.06,227,228.89,225.06,228.51
7/9/2010,8654300,228.03,228.03,228.03,236.22,236.87,231.62,233.98
7/12/2010,6662100,231.4,231.4,231.4,236.42,239.96,235.78,238.15
7/13/2010,7944600,235.88,235.88,235.88,241.37,246.74,240.38,244.84
7/14/2010,6229700,239.23,239.23,239.23,245.19,247.16,243.47,245.92
7/15/2010,9706600,241.91,241.91,241.91,246.11,247.6,241.58,247.26
7/16/2010,15633900,237.95,237.95,237.95,234.79,235.52,229.99,230.04
7/19/2010,9091400,236.41,236.41,236.41,230.74,235.06,228.99,233.32
7/20/2010,8100800,237.95,237.95,237.95,230.75,241.74,230.53,241.04
7/21/2010,6552600,238.3,238.3,238.3,242.24,243.09,237.95,238.99
7/22/2010,4291100,239.75,239.75,239.75,241.86,244.73,241.48,242.65
7/23/2010,4524200,241.59,241.59,241.59,240.63,245.54,240.25,245.28
7/26/2010,3986400,242.64,242.64,242.64,244.79,245.62,242.68,244.73
7/27/2010,4897400,243.95,243.95,243.95,245.54,249,245.33,246.56
7/28/2010,4987000,243.44,243.44,243.44,247.72,247.87,241.58,242.42
